Throughput: 42.06
[2025-04-12 18:12:44.440] VDD_IN: 11253.760 mW, VDD_CPU_GPU_CV: 5288.448 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:44.823] VDD_IN: 11070.400 mW, VDD_CPU_GPU_CV: 5056.128 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:45.203] VDD_IN: 10949.632 mW, VDD_CPU_GPU_CV: 4975.872 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:45.580] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:45.962] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:46.340] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:46.724] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-12 18:12:47.103] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:47.481] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:47.860] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:48.240] VDD_IN: 10909.376 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:48.623] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2093.312 mW,
[2025-04-12 18:12:48.999] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:49.377] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:49.754] VDD_IN: 10909.376 mW, VDD_CPU_GPU_CV: 4975.872 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:50.128] VDD_IN: 10909.376 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:50.506] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:50.886] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4815.360 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:51.268] VDD_IN: 10708.096 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:51.646] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:52.025] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:52.406] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:52.786] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4815.360 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:53.166] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:53.545] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:53.928] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:54.308] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:54.689] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:55.063] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:55.448] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:55.820] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:56.198] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:56.576] VDD_IN: 10828.864 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:56.961] VDD_IN: 11012.608 mW, VDD_CPU_GPU_CV: 4975.872 mW, VDD_SOC: 2210.560 mW,
[2025-04-12 18:12:57.341] VDD_IN: 10851.840 mW, VDD_CPU_GPU_CV: 4935.744 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:57.720] VDD_IN: 10869.120 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2130.176 mW,
[2025-04-12 18:12:58.098] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4855.488 mW, VDD_SOC: 2089.984 mW,
[2025-04-12 18:12:58.481] VDD_IN: 10788.608 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2089.984 mW,
